timestep,oat_mse,enriched_mse
3.180000000000000000e+02,3.783275583377124218e-01,2.460966218627213264e-01
3.190000000000000000e+02,3.773851872079022063e-01,2.471999038592912479e-01
3.200000000000000000e+02,3.996241032411085858e-01,2.442615032895467941e-01
3.210000000000000000e+02,3.878268650083109836e-01,2.822132810325517216e-01
3.220000000000000000e+02,3.685706883692737579e-01,2.718189057315651413e-01
3.230000000000000000e+02,3.595353840985926475e-01,2.698281553053509807e-01
3.240000000000000000e+02,3.190067894180168562e-01,2.812186531236459675e-01
3.250000000000000000e+02,3.194386022120514479e-01,2.608504709107964392e-01
3.260000000000000000e+02,3.064360072674776059e-01,2.725936478976029309e-01
3.270000000000000000e+02,2.910173919230758521e-01,2.697140114454005255e-01
3.280000000000000000e+02,2.940041267062123431e-01,2.671269937179851506e-01
3.290000000000000000e+02,2.934734241807519517e-01,3.348564572912369752e-01
3.300000000000000000e+02,2.991322646060076140e-01,3.299875205579149151e-01
3.310000000000000000e+02,2.916812449743414470e-01,3.596256716316243995e-01
3.320000000000000000e+02,2.753583450336710703e-01,3.575461221361106445e-01
3.330000000000000000e+02,2.757415905603424755e-01,3.552555146910838513e-01
3.340000000000000000e+02,3.049948780497557799e-01,3.945524561243838879e-01
3.350000000000000000e+02,3.040268816782033534e-01,3.945778721615292861e-01
3.360000000000000000e+02,2.619112466124808303e-01,3.929312739121443854e-01
3.370000000000000000e+02,2.609069982886234595e-01,3.913238114932143241e-01
3.380000000000000000e+02,2.553663596425972959e-01,3.451795141142863788e-01
3.390000000000000000e+02,2.621238639295623840e-01,3.349677816050759538e-01
3.400000000000000000e+02,2.856857592928391809e-01,3.246050787128912374e-01
3.410000000000000000e+02,2.852024487691809385e-01,3.197715875011015729e-01
3.420000000000000000e+02,2.727344526345319431e-01,2.607105066486218869e-01
3.430000000000000000e+02,2.794802465111803080e-01,2.346635675686500888e-01
3.440000000000000000e+02,2.719671999638484938e-01,2.695004482290734860e-01
3.450000000000000000e+02,2.600361229163842824e-01,2.682580686472498810e-01
3.460000000000000000e+02,2.711362268183329927e-01,2.675574204067779904e-01
3.470000000000000000e+02,2.729374594270919663e-01,2.702917436310042776e-01
3.480000000000000000e+02,2.752380322092897735e-01,2.732292058048484407e-01
3.490000000000000000e+02,2.763211143281877891e-01,2.376660651735230112e-01
3.500000000000000000e+02,2.753399089730121374e-01,2.377213252012199685e-01
3.510000000000000000e+02,2.993744527554251245e-01,2.400261645963751023e-01
3.520000000000000000e+02,3.187863474756687521e-01,2.707257048138542177e-01
3.530000000000000000e+02,3.217157593723338205e-01,2.726383333380605900e-01
3.540000000000000000e+02,3.222335092852720018e-01,2.720093678481740884e-01
3.550000000000000000e+02,3.269514970021796807e-01,2.736555249165879555e-01
3.560000000000000000e+02,3.276667080315544545e-01,2.825898053093556794e-01
3.570000000000000000e+02,3.228563018644005633e-01,2.761569411819368991e-01
3.580000000000000000e+02,3.166482327598916791e-01,2.810079056121139174e-01
3.590000000000000000e+02,3.098046787580735484e-01,2.754193404735873485e-01
3.600000000000000000e+02,3.087291189036762140e-01,2.752630123186915467e-01
3.610000000000000000e+02,3.078427580616288073e-01,2.758287265758502804e-01
3.620000000000000000e+02,3.113234536391014107e-01,2.451619846242014122e-01
3.630000000000000000e+02,2.960515315022295701e-01,2.538052592159225629e-01
